processed_idx,original_idx,timestamp
0,0,0.0
1,3,0.1
2,6,0.2
3,9,0.3
4,12,0.4
5,15,0.5
6,18,0.6
7,21,0.7
8,24,0.8
9,27,0.9
10,30,1.0
11,33,1.1
12,36,1.2
13,39,1.3
14,42,1.4
15,45,1.5
16,48,1.6
17,51,1.7
18,54,1.8
19,57,1.9
20,60,2.0
21,63,2.1
22,66,2.2
23,69,2.3
24,72,2.4
25,75,2.5
26,78,2.6
27,81,2.7
28,84,2.8
29,87,2.9
30,90,3.0
31,93,3.1
32,96,3.2
33,99,3.3
34,102,3.4
35,105,3.5
36,108,3.6
37,111,3.7
38,114,3.8
39,117,3.9
40,120,4.0
41,123,4.1
42,126,4.2
43,129,4.3
44,132,4.4
45,135,4.5
46,138,4.6
47,141,4.7
48,144,4.8
49,147,4.9
50,150,5.0
51,153,5.1
52,156,5.2
53,159,5.3
54,162,5.4
55,165,5.5
56,168,5.6
57,171,5.7
58,174,5.8
59,177,5.9
60,180,6.0
61,183,6.1
62,186,6.2
63,189,6.3
64,192,6.4
65,195,6.5
66,198,6.6
67,201,6.7
68,204,6.8
69,207,6.9
70,210,7.0
71,213,7.1
72,216,7.2
73,219,7.3
74,222,7.4
75,225,7.5
76,228,7.6
77,231,7.7
78,234,7.8
79,237,7.9
80,240,8.0
81,243,8.1
82,246,8.2
83,249,8.3
84,252,8.4
85,255,8.5
86,258,8.6
87,261,8.7
88,264,8.8
89,267,8.9
90,270,9.0
91,273,9.1
92,276,9.2
93,279,9.3
94,282,9.4
95,285,9.5
96,288,9.6
97,291,9.7
98,294,9.8
99,297,9.9
100,300,10.0
101,303,10.1
102,306,10.2
103,309,10.3
104,312,10.4
105,315,10.5
106,318,10.6
107,321,10.7
108,324,10.8
109,327,10.9
110,330,11.0
111,333,11.1
112,336,11.2
113,339,11.3
114,342,11.4
115,345,11.5
116,348,11.6
117,351,11.7
118,354,11.8
119,357,11.9
