drill_id,cluster,tier,family
D000,2,3,Off-Dribble
D001,1,2,Catch & Shoot
D002,2,3,Off-Dribble
D003,2,3,Off-Dribble
D004,0,1,Form Shooting
D005,3,3,Stepback / Advanced
D006,2,3,Off-Dribble
D007,2,2,Off-Dribble
D008,0,1,Form Shooting
D009,1,1,Catch & Shoot
D010,1,1,Catch & Shoot
D011,3,3,Stepback / Advanced
D012,1,3,Catch & Shoot
D013,2,2,Off-Dribble
D014,1,1,Catch & Shoot
D015,0,1,Form Shooting
D016,1,1,Catch & Shoot
D017,0,1,Form Shooting
D018,2,3,Off-Dribble
D019,1,2,Catch & Shoot
D020,2,3,Off-Dribble
D021,1,1,Catch & Shoot
D022,3,3,Stepback / Advanced
D023,3,3,Stepback / Advanced
D024,2,2,Off-Dribble
D025,0,1,Form Shooting
D026,1,2,Catch & Shoot
D027,0,1,Form Shooting
D028,0,1,Form Shooting
D029,2,2,Off-Dribble
D030,2,2,Off-Dribble
D031,3,3,Stepback / Advanced
D032,0,1,Form Shooting
D033,1,1,Catch & Shoot
D034,1,1,Catch & Shoot
D035,0,1,Form Shooting
D036,0,1,Form Shooting
D037,1,1,Catch & Shoot
D038,0,1,Form Shooting
D039,2,3,Off-Dribble
D040,1,3,Catch & Shoot
D041,2,3,Off-Dribble
D042,2,2,Off-Dribble
D043,0,2,Form Shooting
D044,2,3,Off-Dribble
D045,2,3,Off-Dribble
D046,1,1,Catch & Shoot
D047,0,1,Form Shooting
D048,2,2,Off-Dribble
D049,0,2,Form Shooting
D050,0,1,Form Shooting
D051,0,1,Form Shooting
D052,2,2,Off-Dribble
D053,2,3,Off-Dribble
D054,2,2,Off-Dribble
D055,2,3,Off-Dribble
D056,1,2,Catch & Shoot
D057,1,2,Catch & Shoot
D058,0,1,Form Shooting
D059,0,1,Form Shooting
